@RELATION thread_length

@ATTRIBUTE threadID NUMERIC
@ATTRIBUTE sentiment_1 NUMERIC
@ATTRIBUTE sentiment_2 NUMERIC
@ATTRIBUTE time_1 NUMERIC
@ATTRIBUTE time_2 NUMERIC
@ATTRIBUTE arrivalPattern_1 NUMERIC
@ATTRIBUTE arrivalPattern_2 NUMERIC
@ATTRIBUTE topicMSE_1 NUMERIC
@ATTRIBUTE topicMSE_2 NUMERIC
@ATTRIBUTE posterInteractions_1 NUMERIC
@ATTRIBUTE posterInteractions_2 NUMERIC
@ATTRIBUTE mutualInteractions_1 NUMERIC
@ATTRIBUTE mutualInteractions_2 NUMERIC
@ATTRIBUTE numWords_1 NUMERIC
@ATTRIBUTE numWords_2 NUMERIC
@ATTRIBUTE question_1 NUMERIC
@ATTRIBUTE question_2 NUMERIC
@ATTRIBUTE exclaim_1 NUMERIC
@ATTRIBUTE exclaim_2 NUMERIC
@ATTRIBUTE onThreadTopic_1 NUMERIC
@ATTRIBUTE onThreadTopic_2 NUMERIC
@ATTRIBUTE overlapPrevious_1 NUMERIC
@ATTRIBUTE overlapPrevious_2 NUMERIC
@ATTRIBUTE overlapDistance_1 NUMERIC
@ATTRIBUTE overlapDistance_2 NUMERIC
@ATTRIBUTE timeliness_1 NUMERIC
@ATTRIBUTE timeliness_2 NUMERIC
@ATTRIBUTE lengthiness_1 NUMERIC
@ATTRIBUTE lengthiness_2 NUMERIC
@ATTRIBUTE formatPunctuation_1 NUMERIC
@ATTRIBUTE formatPunctuation_2 NUMERIC
@ATTRIBUTE formatEmoticons_1 NUMERIC
@ATTRIBUTE formatEmoticons_2 NUMERIC
@ATTRIBUTE formatCapitals_1 NUMERIC
@ATTRIBUTE formatCapitals_2 NUMERIC
@ATTRIBUTE averageSentiment NUMERIC
@ATTRIBUTE participants NUMERIC
@ATTRIBUTE totalLinks NUMERIC
@ATTRIBUTE topicScores_1_1 NUMERIC
@ATTRIBUTE topicScores_1_2 NUMERIC
@ATTRIBUTE topicScores_1_3 NUMERIC
@ATTRIBUTE topicScores_1_4 NUMERIC
@ATTRIBUTE topicScores_1_5 NUMERIC
@ATTRIBUTE topicScores_1_6 NUMERIC
@ATTRIBUTE topicScores_1_7 NUMERIC
@ATTRIBUTE topicScores_1_8 NUMERIC
@ATTRIBUTE topicScores_1_9 NUMERIC
@ATTRIBUTE topicScores_1_10 NUMERIC
@ATTRIBUTE topicScores_1_11 NUMERIC
@ATTRIBUTE topicScores_1_12 NUMERIC
@ATTRIBUTE topicScores_1_13 NUMERIC
@ATTRIBUTE topicScores_1_14 NUMERIC
@ATTRIBUTE topicScores_1_15 NUMERIC
@ATTRIBUTE topicScores_1_16 NUMERIC
@ATTRIBUTE topicScores_1_17 NUMERIC
@ATTRIBUTE topicScores_1_18 NUMERIC
@ATTRIBUTE topicScores_1_19 NUMERIC
@ATTRIBUTE topicScores_1_20 NUMERIC
@ATTRIBUTE topicScores_2_1 NUMERIC
@ATTRIBUTE topicScores_2_2 NUMERIC
@ATTRIBUTE topicScores_2_3 NUMERIC
@ATTRIBUTE topicScores_2_4 NUMERIC
@ATTRIBUTE topicScores_2_5 NUMERIC
@ATTRIBUTE topicScores_2_6 NUMERIC
@ATTRIBUTE topicScores_2_7 NUMERIC
@ATTRIBUTE topicScores_2_8 NUMERIC
@ATTRIBUTE topicScores_2_9 NUMERIC
@ATTRIBUTE topicScores_2_10 NUMERIC
@ATTRIBUTE topicScores_2_11 NUMERIC
@ATTRIBUTE topicScores_2_12 NUMERIC
@ATTRIBUTE topicScores_2_13 NUMERIC
@ATTRIBUTE topicScores_2_14 NUMERIC
@ATTRIBUTE topicScores_2_15 NUMERIC
@ATTRIBUTE topicScores_2_16 NUMERIC
@ATTRIBUTE topicScores_2_17 NUMERIC
@ATTRIBUTE topicScores_2_18 NUMERIC
@ATTRIBUTE topicScores_2_19 NUMERIC
@ATTRIBUTE topicScores_2_20 NUMERIC
@ATTRIBUTE regressionFeatures_1 NUMERIC
@ATTRIBUTE regressionFeatures_2 NUMERIC
@ATTRIBUTE regressionFeatures_3 NUMERIC
@ATTRIBUTE regressionFeatures_4 NUMERIC
@ATTRIBUTE regressionFeatures_5 NUMERIC
@ATTRIBUTE regressionFeatures_6 NUMERIC
@ATTRIBUTE regressionFeatures_7 NUMERIC
@ATTRIBUTE regressionFeatures_8 NUMERIC
@ATTRIBUTE regressionFeatures_9 NUMERIC
@ATTRIBUTE regressionFeatures_10 NUMERIC
@ATTRIBUTE regressionFeatures_11 NUMERIC
@ATTRIBUTE regressionFeatures_12 NUMERIC
@ATTRIBUTE regressionFeatures_13 NUMERIC
@ATTRIBUTE regressionFeatures_14 NUMERIC
@ATTRIBUTE regressionFeatures_15 NUMERIC
@ATTRIBUTE regressionFeatures_16 NUMERIC
@ATTRIBUTE regressionFeatures_17 NUMERIC
@ATTRIBUTE regressionFeatures_18 NUMERIC
@ATTRIBUTE regressionFeatures_19 NUMERIC
@ATTRIBUTE regressionFeatures_20 NUMERIC
@ATTRIBUTE regressionFeatures_21 NUMERIC
@ATTRIBUTE regressionFeatures_22 NUMERIC
@ATTRIBUTE regressionFeatures_23 NUMERIC
@ATTRIBUTE regressionFeatures_24 NUMERIC
@ATTRIBUTE regressionFeatures_25 NUMERIC
@ATTRIBUTE regressionFeatures_26 NUMERIC
@ATTRIBUTE regressionFeatures_27 NUMERIC
@ATTRIBUTE regressionFeatures_28 NUMERIC
@ATTRIBUTE regressionFeatures_29 NUMERIC
@ATTRIBUTE regressionFeatures_30 NUMERIC
@ATTRIBUTE regressionFeatures_31 NUMERIC
@ATTRIBUTE regressionFeatures_32 NUMERIC
@ATTRIBUTE regressionFeatures_33 NUMERIC
@ATTRIBUTE regressionFeatures_34 NUMERIC
@ATTRIBUTE regressionFeatures_35 NUMERIC
@ATTRIBUTE regressionFeatures_36 NUMERIC
@ATTRIBUTE regressionFeatures_37 NUMERIC
@ATTRIBUTE regressionFeatures_38 NUMERIC
@ATTRIBUTE regressionFeatures_39 NUMERIC
@ATTRIBUTE regressionFeatures_40 NUMERIC
@ATTRIBUTE regressionFeatures_41 NUMERIC
@ATTRIBUTE regressionFeatures_42 NUMERIC
@ATTRIBUTE regressionFeatures_43 NUMERIC
@ATTRIBUTE regressionFeatures_44 NUMERIC
@ATTRIBUTE regressionFeatures_45 NUMERIC
@ATTRIBUTE regressionFeatures_46 NUMERIC
@ATTRIBUTE regressionFeatures_47 NUMERIC
@ATTRIBUTE regressionFeatures_48 NUMERIC
@ATTRIBUTE regressionFeatures_49 NUMERIC
@ATTRIBUTE regressionFeatures_50 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_1 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_2 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_3 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_4 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_5 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_6 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_7 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_8 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_9 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_10 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_11 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_12 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_13 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_14 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_15 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_16 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_17 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_18 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_19 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_20 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_21 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_22 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_23 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_24 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_25 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_26 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_27 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_28 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_29 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_30 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_31 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_32 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_33 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_34 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_35 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_36 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_37 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_38 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_39 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_40 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_41 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_42 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_43 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_44 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_45 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_46 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_47 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_48 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_49 NUMERIC
@ATTRIBUTE semanticRegressionFeatures_50 NUMERIC
@ATTRIBUTE threadLength NUMERIC

@DATA
0,0,0,4,6,01,010,0.00012096,0.00011973,1,-1,9,-1,0,0,0,1,0,1,0.4330,0.5398,0.4330,0.6250,1.0000,1.0000,0.0375,0.1412,1.7007,1.3363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,2,1,0.0549872256113,0.0632358308567,0.0770191355128,0.0655300067782,0.0553600291986,0.0570363418322,0.0487694874602,0.043730121487,0.030173627405,0.0580035455446,0.0269774232233,0.10304760415,0.0476458626623,0.0457740236717,0.0359559935346,0.0286876270921,0.0278429532301,0.0456593148756,0.0395302153397,0.0450336305334,0.047159712501,0.0758507922691,0.0768036325566,0.0756096413321,0.0466715288969,0.0504181910151,0.0365431895446,0.0405780564411,0.0436365561294,0.0534531637827,0.0298615440718,0.0985189803433,0.0274500347022,0.0470479596278,0.051318095731,0.0357550377019,0.0280911432907,0.0423366937618,0.0472832288346,0.0456128174664,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
24,-1,1,1,1,01,012,0.00008256,0.00279294,1,1,4,4,0,0,0,0,0,1,0.3500,0.3077,0.3500,0.3846,1.0000,1.0000,0.0001,0.0002,1.2537,0.2716,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,3,3,0.0766969184078,0.0811982024046,0.065461947006,0.0477924010739,0.0525271390218,0.0550951324851,0.0438309793393,0.0444365005253,0.0378268355317,0.048645967083,0.0441957511381,0.0918057663126,0.0313120112058,0.036863837983,0.0368127699311,0.033916481849,0.0288242675382,0.0515203688572,0.0391327185713,0.0521040037353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
31,1,1,2,2,01,010,0.00016929,0.00011188,1,-1,47,-1,0,0,0,0,0,0,0.5714,0.5357,0.5714,0.5357,1.0000,2.0000,0.4018,0.0372,0.1235,0.2470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2,1,0.0738350782467,0.0879590000219,0.0632778033845,0.0459823094313,0.0745813305239,0.0562652268387,0.0425912512895,0.0395733192862,0.0202036829745,0.0500757226575,0.0479028116152,0.0998331906675,0.0352165229034,0.0337349926472,0.0349641140449,0.0289501986348,0.0253835517219,0.0567151730647,0.035874980795,0.0470797392507,0.0702063729106,0.0847982151532,0.0624606416092,0.0506666186869,0.069000881628,0.0546969179006,0.0450619838428,0.0395653034419,0.0254322675831,0.0520610302452,0.0448820597708,0.090906637399,0.0371813094874,0.0319185303802,0.0368664423613,0.0332769571241,0.0267097284946,0.0571798700948,0.0420122708217,0.0451159610644,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
217,1,1,1,2,01,012,0.00007512,0.00044976,4,1,1489,454,0,0,1,0,1,0,0.8723,0.6429,0.8723,0.6429,1.0000,2.0000,0.0152,0.0781,0.2896,0.1725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,3,58,0.0629762898305,0.0778892066055,0.0475981995047,0.0723071239961,0.0358730897101,0.0500335198588,0.0392524387407,0.0530571479389,0.0349564241836,0.065096933959,0.0446429792998,0.0959352040607,0.0529203321886,0.0240385273153,0.0287997154232,0.0517300351616,0.0247499692165,0.0457511868766,0.0418929827202,0.0504986934096,0.0319533361787,0.0823161189358,0.0368758002561,0.0949779484991,0.0715606771945,0.0341442594964,0.0426803243705,0.026234172713,0.0319533361787,0.0874662114099,0.0489970123773,0.0680039834969,0.0495945369185,0.0328353962157,0.0377009531939,0.0157917200171,0.0309290083938,0.063593683312,0.0375017783468,0.0748897424954,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
227,0,0,0,0,00,000,0.00000000,0.00000000,-1,-1,-1,-1,0,0,0,0,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.2348,0.2348,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1,0,0.112812533154,0.0680411641971,0.0669802312834,0.0458323018708,0.0,0.0351522438731,0.0309792410793,0.040881281607,0.0,0.055698977968,0.0454079287053,0.0497931180818,0.106800579977,0.0399618064151,0.0298475793047,0.0989496764155,0.0476712522545,0.0357888036213,0.0389008735014,0.050500406691,0.112812533154,0.0680411641971,0.0669802312834,0.0458323018708,0.0,0.0351522438731,0.0309792410793,0.040881281607,0.0,0.055698977968,0.0454079287053,0.0497931180818,0.106800579977,0.0399618064151,0.0298475793047,0.0989496764155,0.0476712522545,0.0357888036213,0.0389008735014,0.050500406691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
259,-2,0,3,5,01,012,0.00010552,0.00009426,4,3,159,1321,0,0,0,1,0,0,0.4294,0.4783,0.4294,0.5652,1.0000,1.0000,0.0922,0.2930,2.0319,0.2867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,3,23,0.0848977745934,0.0555576728126,0.0626538716587,0.0579002060515,0.0608525093308,0.0508599027925,0.0323864112746,0.0411823441085,0.0289183441695,0.0480625827318,0.037935318643,0.0879999796743,0.047587470242,0.0403769395134,0.0375948637037,0.0593255435211,0.0174800744936,0.0533548785414,0.054749727509,0.0403235846348,0.0942829238975,0.0581223549445,0.0633561215035,0.0479302832244,0.059524703879,0.0456264242606,0.0347331780733,0.0382390504094,0.0251671549846,0.0561690832144,0.0481556607317,0.105576841209,0.0453760048081,0.0480054090602,0.0290486564996,0.036836701475,0.0155510480054,0.0582976485613,0.0580221871635,0.0319785640949,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
286,0,0,0,0,00,000,0.00000000,0.00000000,-1,-1,-1,-1,0,0,0,0,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.2833,0.2833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0.0701043639086,0.0608569289709,0.0751684354221,0.0615614954423,0.0501122902814,0.0200361090317,0.0220177022326,0.0561451406931,0.032277951473,0.047426130609,0.020916817121,0.0712933198291,0.0767977453873,0.0504205381126,0.0406446783214,0.0601963979039,0.0276542340041,0.0507728213484,0.0418776696464,0.0637192302611,0.0701043639086,0.0608569289709,0.0751684354221,0.0615614954423,0.0501122902814,0.0200361090317,0.0220177022326,0.0561451406931,0.032277951473,0.047426130609,0.020916817121,0.0712933198291,0.0767977453873,0.0504205381126,0.0406446783214,0.0601963979039,0.0276542340041,0.0507728213484,0.0418776696464,0.0637192302611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
307,1,0,4,4,01,010,0.00054754,0.00042895,17,-1,1375,-1,0,0,0,0,1,0,0.6727,0.7091,0.6727,0.7091,1.0000,2.0000,0.3055,0.0646,0.4712,0.4712,2.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,2,17,0.0460521879846,0.0418043287708,0.044231676893,0.0751803654507,0.0618299507788,0.0867102690311,0.0287910457825,0.0272402400378,0.0254197289461,0.0602117186973,0.0693142741555,0.110039781539,0.0,0.0643921515744,0.0,0.0660103836559,0.0320275099454,0.0581215022588,0.0660103836559,0.0366125008428,0.0412939360355,0.101092463585,0.0462416877771,0.0435995883471,0.0752256174794,0.038028419886,0.0257085180494,0.0553851329956,0.0511201709943,0.0385924635845,0.0427485750475,0.0701690151995,0.0474588347055,0.0313786415453,0.0377711367954,0.0578194268524,0.0222747783407,0.061292748575,0.0652014724509,0.0475973717543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
314,2,2,2,4,00,001,0.00029243,0.00018045,-1,3,-1,1321,0,0,0,0,1,0,0.6429,0.7500,0.6429,0.7500,1.0000,2.0000,0.0064,0.0122,0.5908,0.1266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3333,2,3,0.0759382739569,0.06835587731,0.0575728710231,0.0269003619737,0.0493046294532,0.0500285768718,0.0559344637074,0.0839397980568,0.0227852924367,0.0448466374548,0.0289578967422,0.0855782053725,0.0608115831587,0.0700704896171,0.0478567346161,0.0389788531149,0.0142884358926,0.0551343112974,0.0408458754048,0.0218708325395,0.0591698748019,0.0589757691437,0.0370741807124,0.0432532108311,0.0598815955485,0.0311539581379,0.0322215392579,0.0503057164116,0.0391769920093,0.0778040179871,0.0358124939342,0.127333311766,0.0436414221475,0.0370418297693,0.0335155769791,0.0549319012649,0.0284364789234,0.0559024295558,0.0490440296335,0.045323671185,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
328,1,-2,5,6,01,010,0.00012766,0.00106667,1,-1,42,-1,0,0,0,0,0,0,0.6545,0.5556,0.6545,0.5556,1.0000,2.0000,1.7058,1.6741,0.2409,0.2760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6667,2,1,0.0530204182389,0.0841414818211,0.0674965616955,0.0882145501992,0.0500052896992,0.0345417357266,0.0273653771556,0.0351764996297,0.0347356913637,0.0518566844165,0.0396551116127,0.114222237895,0.0362873364601,0.036587086081,0.0322319004126,0.0456677363614,0.0330253552915,0.0528264626018,0.0441160912649,0.0388263920725,0.0379487179487,0.0397435897436,0.108461538462,0.0207326007326,0.0191941391941,0.0154578754579,0.047032967033,0.0837728937729,0.0312087912088,0.0545787545788,0.0545787545788,0.0285714285714,0.0930036630037,0.0438827838828,0.037326007326,0.104835164835,0.0115750915751,0.0467765567766,0.0464835164835,0.0748351648352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
